schemaname	tablename	policyname	permissive	roles	cmd	qual	with_check
public	achievements	Users manage their achievements	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	activity_log	Users see own activity	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	
public	ai_insights	Users manage own insights	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	
public	ai_insights	Users view their own insights	PERMISSIVE	{public}	SELECT	(auth.uid() = user_id)	
public	ai_usage_log	Users see own AI usage	PERMISSIVE	{public}	SELECT	(auth.uid() = user_id)	
public	annual_reviews	Users manage their annual reviews	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	api_keys	Users manage own API keys	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	appreciation_log	Users manage their appreciation log	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	appreciation_logs	Users manage their appreciation logs	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	auto_reminder_settings	Users manage their reminder settings	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	availability_blackouts	Users manage their blackouts	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	availability_blocks	Users manage availability blocks	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	availability_blocks	Users manage their blocks	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	availability_dates	Public can view availability dates	PERMISSIVE	{public}	SELECT	true	
public	availability_dates	Users manage their availability dates	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	availability_days	Users manage their availability	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	availability_pages	Users manage their availability page	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	availability_settings	Public can view public availability settings	PERMISSIVE	{public}	SELECT	(is_public = true)	
public	availability_settings	Users manage availability settings	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	availability_settings	Users manage their availability	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	availability_settings	Users manage their availability settings	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	availability_slots	Owner manages slots	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	availability_slots	Public can read slots	PERMISSIVE	{public}	SELECT	true	
public	billing_milestones	Users manage billing milestones	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	booking_pages	Users manage their booking page	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	booking_pages	Users manage their booking pages	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	booking_requests	Users manage their booking requests	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	bookings	Users manage their bookings	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	brand_guides	Users manage their brand guide	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	brand_voice_guides	Users manage their brand voice	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	brief_scores	Users manage brief scores	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	broadcast_emails	Users manage their broadcasts	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	budget_expenses	Users manage their budget expenses	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	budgets	Users manage own budgets	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	
public	burnout_assessments	Users manage burnout assessments	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	business_expenses	Users manage their expenses	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	business_plans	Users manage their business plans	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	business_subscriptions	Users manage their subscriptions	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
